ID,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Sedan,82.5,62.5,-21.3,-38.7,31.9,83.5,58.5,48.0,50.0,6.6000004,66.4,44.5
HatchBack,11.55,20.55,2.7999992,-74.95,4.799999,119.95,28.55,44.0,45.0,-1.75,97.75,29.55
SUV,20.4,41.4,35.6,17.6,5.0,25.0,3.4,16.0,16.0,22.0,22.0,0.4
Deportivo,17.46,18.54,16.0,2.0,13.0,26.0,31.0,30.46,43.0,11.0,39.54,17.54
Van,0.64,37.96,17.52,28.88,40.84,5.8,0.8,31.84,34.0,5.36,0.8,16.96
Pick-Up,14.7,-1.8000002,24.95,30.7,25.45,11.8,7.2,19.5,9.25,37.0,7.25,14.95
Roadster,-4.16,36.16,30.76,2.24,30.24,21.24,28.24,2.6000004,23.76,19.24,22.4,47.4
Familiar,28.88,26.6,37.32,25.04,41.2,2.56,20.36,33.24,31.88,7.96,38.28,11.36
Todoterreno,-2.8000002,65.6,-0.6000004,13.8,45.4,51.6,38.0,-1.6000004,9.4,39.4,73.4,47.6
Cupe,3.6,47.4,1.0,50.0,28.0,35.0,42.0,-4.4,13.0,1.0,15.4,8.4
