ID,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Sedan,47,27,0,11,39,48,23,48,50,35,38,9
HatchBack,2,11,41,11,43,34,19,44,45,46,50,20
SUV,11,50,45,17,4,32,2,24,17,21,22,0
Deportivo,18,18,16,2,13,26,31,31,43,11,39,17
Van,0,37,18,30,41,5,0,32,34,6,0,16
Pick-Up,9,3,32,25,19,4,0,21,16,31,5,13
Roadster,2,30,33,0,28,19,26,11,26,17,14,39
Familiar,30,29,41,26,42,0,21,35,33,7,37,12
Todoterreno,6,48,17,16,41,45,27,27,16,35,47,19
Cupe,10,41,1,50,28,35,42,2,13,1,9,2
