ID,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Ciclomotores,35.5,35.5,-21.3,-49.7,-7.1,35.5,35.5,0,0,-28.4,28.4,35.5
Scooter,9.55,9.55,-38.2,-85.95,-38.2,85.95,9.55,0,0,-47.75,47.75,9.55
Trail,9.4,-8.6,-9.4,0.6,1,-7,1.4,-8,-1,1,0,0.4
Motocross,-0.54,0.54,0,0,0,0,0,-0.54,0,0,0.54,0.54
Naked,0.64,0.96,-0.48,-1.12,-0.16,0.8,0.8,-0.16,0,-0.64,0.8,0.96
Cruiser,5.7,-4.8,-7.05,5.7,6.45,7.8,7.2,-1.5,-6.75,6,2.25,1.95
Superdeportivas,-6.16,6.16,-2.24,2.24,2.24,2.24,2.24,-8.4,-2.24,2.24,8.4,8.4
Gran turismo,-1.12,-2.4,-3.68,-0.96,-0.8,2.56,-0.64,-1.76,-1.12,0.96,1.28,-0.64
Motos electricas,-8.8,17.6,-17.6,-2.2,4.4,6.6,11,-28.6,-6.6,4.4,26.4,28.6
Alta gama,-6.4,6.4,0,0,0,0,0,-6.4,0,0,6.4,6.4
